([38, 191], 3, {'feature': 191, 0: {'feature': 38, 0: -1, 1: -1}, 1: {'feature': 38, 0: -1, 1: -1}}, 0.88)
([38, 191], 4, {'feature': 191, 0: {'feature': 38, 0: -1, 1: -1}, 1: {'feature': 38, 0: -1, 1: -1}}, 0.8565217391304348)
([120, 173], 0, {'feature': 120, 0: {'feature': 173, 0: -1, 1: -1}, 1: {'feature': 173, 0: -1, 1: -1}}, 0.86)
([120, 173], 1, {'feature': 120, 0: {'feature': 173, 0: -1, 1: -1}, 1: {'feature': 173, 0: -1, 1: -1}}, 0.9013043478260869)
([120, 173], 2, {'feature': 120, 0: {'feature': 173, 0: 2, 1: -1}, 1: {'feature': 173, 0: -1, 1: -1}}, 0.5282608695652173)
([120, 173], 3, {'feature': 173, 0: {'feature': 120, 0: -1, 1: -1}, 1: {'feature': 120, 0: -1, 1: -1}}, 0.88)
([120, 173], 4, {'feature': 173, 0: {'feature': 120, 0: -1, 1: -1}, 1: {'feature': 120, 0: -1, 1: -1}}, 0.8565217391304348)
([94, 75], 0, {'feature': 94, 0: {'feature': 75, 0: -1, 1: -1}, 1: {'feature': 75, 0: -1, 1: -1}}, 0.86)
([94, 75], 1, {'feature': 75, 0: {'feature': 94, 0: -1, 1: -1}, 1: {'feature': 94, 0: -1, 1: -1}}, 0.9013043478260869)
([94, 75], 2, {'feature': 94, 0: {'feature': 75, 0: -1, 1: 2}, 1: {'feature': 75, 0: -1, 1: -1}}, 0.5130434782608696)
([94, 75], 3, {'feature': 94, 0: {'feature': 75, 0: -1, 1: -1}, 1: {'feature': 75, 0: -1, 1: -1}}, 0.88)
([94, 75], 4, {'feature': 94, 0: {'feature': 75, 0: -1, 1: -1}, 1: {'feature': 75, 0: -1, 1: -1}}, 0.8565217391304348)
([147, 123], 0, {'feature': 123, 0: {'feature': 147, 0: -1, 1: -1}, 1: {'feature': 147, 0: -1, 1: -1}}, 0.86)
([147, 123], 1, {'feature': 147, 0: {'feature': 123, 0: -1, 1: -1}, 1: -1}, 0.9013043478260869)
([147, 123], 2, {'feature': 123, 0: {'feature': 147, 0: 2, 1: 2}, 1: {'feature': 147, 0: -1, 1: -1}}, 0.5117391304347826)
([147, 123], 3, {'feature': 123, 0: {'feature': 147, 0: -1, 1: -1}, 1: {'feature': 147, 0: -1, 1: -1}}, 0.88)
