(111, 0, {0: -1, 1: 2, 'feature': 112}, 0.8605769230769231)
(112, 0, {0: -1, 1: 2, 'feature': 113}, 0.8605769230769231)
(113, 0, {0: -1, 1: 2, 'feature': 114}, 0.8605769230769231)
(114, 0, {0: 2, 1: -1, 'feature': 115}, 0.8605769230769231)
(115, 0, {0: -1, 1: 2, 'feature': 116}, 0.8605769230769231)
(116, 0, {0: 2, 1: -1, 'feature': 117}, 0.8605769230769231)
(117, 0, {0: 2, 1: -1, 'feature': 118}, 0.8605769230769231)
(118, 0, {0: -1, 1: 2, 'feature': 119}, 0.8605769230769231)
(119, 0, {0: 2, 1: -1, 'feature': 120}, 0.8605769230769231)
(120, 0, {0: 2, 1: -1, 'feature': 121}, 0.8605769230769231)
(122, 0, {0: 2, 1: -1, 'feature': 123}, 0.8605769230769231)
(123, 0, {0: 2, 1: -1, 'feature': 124}, 0.8605769230769231)
(124, 0, {0: 2, 1: -1, 'feature': 125}, 0.8605769230769231)
(125, 0, {0: 2, 1: -1, 'feature': 126}, 0.8605769230769231)
(126, 0, {0: 2, 1: -1, 'feature': 127}, 0.8605769230769231)
(128, 0, {0: 2, 1: -1, 'feature': 129}, 0.8605769230769231)
(129, 0, {0: 2, 1: -1, 'feature': 130}, 0.8605769230769231)
(132, 0, {0: -1, 1: 2, 'feature': 133}, 0.8605769230769231)
(133, 0, {0: 2, 1: -1, 'feature': 134}, 0.8605769230769231)
(135, 0, {0: 2, 1: -1, 'feature': 136}, 0.8605769230769231)
(136, 0, {0: 2, 1: -1, 'feature': 137}, 0.8605769230769231)
(138, 0, {0: 2, 1: -1, 'feature': 139}, 0.8605769230769231)
(141, 0, {0: 2, 1: -1, 'feature': 142}, 0.8605769230769231)
(142, 0, {0: -1, 1: 2, 'feature': 143}, 0.8605769230769231)
(143, 0, {0: -1, 1: 2, 'feature': 144}, 0.8605769230769231)
(144, 0, {0: 2, 1: -1, 'feature': 145}, 0.8605769230769231)
(145, 0, {0: 2, 1: -1, 'feature': 146}, 0.8605769230769231)
(146, 0, {0: -1, 1: 2, 'feature': 147}, 0.8605769230769231)
(147, 0, {0: -1, 1: 2, 'feature': 148}, 0.8605769230769231)
(149, 0, {0: -1, 1: 2, 'feature': 150}, 0.8605769230769231)
(150, 0, {0: -1, 1: 2, 'feature': 151}, 0.8605769230769231)
(152, 0, {0: -1, 1: 2, 'feature': 153}, 0.8605769230769231)
(153, 0, {0: 2, 1: -1, 'feature': 154}, 0.8605769230769231)
(154, 0, {0: 2, 1: -1, 'feature': 155}, 0.8605769230769231)
(155, 0, {0: -1, 1: 2, 'feature': 156}, 0.8605769230769231)
(156, 0, {0: 2, 1: -1, 'feature': 157}, 0.8605769230769231)
(157, 0, {0: 2, 1: -1, 'feature': 158}, 0.8605769230769231)
(158, 0, {0: -1, 1: 2, 'feature': 159}, 0.8605769230769231)
(159, 0, {0: 2, 1: -1, 'feature': 160}, 0.8605769230769231)
(160, 0, {0: 2, 1: -1, 'feature': 161}, 0.8605769230769231)
(161, 0, {0: 2, 1: -1, 'feature': 162}, 0.8605769230769231)
(162, 0, {0: 2, 1: -1, 'feature': 163}, 0.8605769230769231)
(163, 0, {0: 2, 1: -1, 'feature': 164}, 0.8605769230769231)
(165, 0, {0: 2, 1: -1, 'feature': 166}, 0.8605769230769231)
(166, 0, {0: 2, 1: -1, 'feature': 167}, 0.8605769230769231)
(168, 0, {0: -1, 1: 2, 'feature': 169}, 0.8605769230769231)
(169, 0, {0: -1, 1: 2, 'feature': 170}, 0.8605769230769231)
(172, 0, {0: 2, 1: -1, 'feature': 173}, 0.8605769230769231)
(174, 0, {0: 2, 1: -1, 'feature': 175}, 0.8605769230769231)
(175, 0, {0: 2, 1: -1, 'feature': 176}, 0.8605769230769231)
(176, 0, {0: -1, 1: 2, 'feature': 177}, 0.8605769230769231)
(178, 0, {0: 2, 1: -1, 'feature': 179}, 0.8605769230769231)
(179, 0, {0: -1, 1: 2, 'feature': 180}, 0.8605769230769231)
(180, 0, {0: -1, 1: 2, 'feature': 181}, 0.8605769230769231)
(181, 0, {0: 2, 1: -1, 'feature': 182}, 0.8605769230769231)
(182, 0, {0: 2, 1: -1, 'feature': 183}, 0.8605769230769231)
(183, 0, {0: -1, 1: 2, 'feature': 184}, 0.8605769230769231)
(184, 0, {0: -1, 1: 2, 'feature': 185}, 0.8605769230769231)
(185, 0, {0: -1, 1: 2, 'feature': 186}, 0.8605769230769231)
(186, 0, {0: -1, 1: 2, 'feature': 187}, 0.8605769230769231)
(188, 0, {0: -1, 1: 2, 'feature': 189}, 0.8605769230769231)
(189, 0, {0: -1, 1: 2, 'feature': 190}, 0.8605769230769231)
(190, 0, {0: -1, 1: 2, 'feature': 191}, 0.8605769230769231)
(191, 0, {0: -1, 1: 2, 'feature': 192}, 0.8605769230769231)
(192, 0, {0: -1, 1: 2, 'feature': 193}, 0.8605769230769231)
(193, 0, {0: 2, 1: -1, 'feature': 194}, 0.8605769230769231)
(194, 0, {0: -1, 1: 2, 'feature': 195}, 0.8605769230769231)
(196, 0, {0: -1, 1: 2, 'feature': 197}, 0.8605769230769231)
(197, 0, {0: 2, 1: -1, 'feature': 198}, 0.8605769230769231)
(199, 0, {0: -1, 1: 2, 'feature': 200}, 0.8605769230769231)
(200, 0, {0: -1, 1: 2, 'feature': 201}, 0.8605769230769231)
(202, 0, {0: 2, 1: -1, 'feature': 203}, 0.8605769230769231)
(203, 0, {0: -1, 1: 2, 'feature': 204}, 0.8605769230769231)
(205, 0, {0: 2, 1: -1, 'feature': 206}, 0.8605769230769231)
(206, 0, {0: 2, 1: -1, 'feature': 207}, 0.8605769230769231)
(207, 0, {0: -1, 1: 2, 'feature': 208}, 0.8605769230769231)
(208, 0, {0: 2, 1: -1, 'feature': 209}, 0.8605769230769231)
(211, 0, {0: 2, 1: -1, 'feature': 212}, 0.8605769230769231)
(212, 0, {0: 2, 1: -1, 'feature': 213}, 0.8605769230769231)
(214, 0, {0: -1, 1: 2, 'feature': 215}, 0.8605769230769231)
(216, 0, {0: -1, 1: 2, 'feature': 217}, 0.8605769230769231)
(217, 0, {0: 2, 1: -1, 'feature': 218}, 0.8605769230769231)
(218, 0, {0: 2, 1: -1, 'feature': 219}, 0.8605769230769231)
(219, 0, {0: 2, 1: -1, 'feature': 220}, 0.8605769230769231)
(220, 0, {0: 2, 1: -1, 'feature': 221}, 0.8605769230769231)
(221, 0, {0: -1, 1: 2, 'feature': 222}, 0.8605769230769231)
(222, 0, {0: 2, 1: -1, 'feature': 223}, 0.8605769230769231)
(223, 0, {0: -1, 1: 2, 'feature': 224}, 0.8605769230769231)
(224, 0, {0: -1, 1: 2, 'feature': 225}, 0.8605769230769231)
